,제목,제공기관,설명,파일형태,수정일,제공형태
0,전라북도 전주시 치매검진기관,자치행정기관,"치매무료검진기관 현황(병원명, 주소, 전화번호)관련 내용입니다",CSV,2021-01-14,파일
1,서울특별시 종로구 안경업소 현황,자치행정기관,"종로구 관내 안경업소 현황(사업장명, 전화번호, 주소)",CSV,2021-01-13,파일
2,서울특별시 종로구 소독업소 현황,자치행정기관,"종로구 관내 소독업소 현황(사업장명, 전화번호, 주소)",CSV,2021-01-13,파일
3,전라남도 보건환경연구원 검사항목 및 검사수수료,자치행정기관,전라남도 보건연구원에서 제시하는 검사 항목 및 수수료입니다.,CSV,2021-01-13,파일
4,전라남도 보건환경연구원홈페이지 환경관련상식,자치행정기관,전라남도 보건환경연구원 홈페이지에 게시된 환경관련상식입니다.,CSV,2021-01-13,파일
5,전라북도 정읍시 소독업체 현황,자치행정기관,전라북도 정읍시 소재 소독업체 현황 제공,CSV,2021-01-13,파일
6,보건복지부 사전연명의료의향서 등록기관 현황,국가행정기관,"사전연명의료의향서 등록기관으로 지정된 기관의 정보 (시도, 기관유형, 기관명, 전화번호, 주소, 위도, 경도)",CSV,2021-01-13,파일
7,보건복지부 연명의료중단등결정이행서 등록 현황,국가행정기관,"연명의료중단등결정이행서 등록 현황 (이행년도, 이행의료기관 종별구분, 성별, 연령대 별)",CSV,2021-01-12,파일
8,보건복지부 연명의료계획서 등록 현황,국가행정기관,"연명의료계획서 등록 현황 (작성일, 환자상태, 성별, 연령대별)",CSV,2021-01-12,파일
9,보건복지부 사전연명의료의향서 등록 현황,국가행정기관,"사전연명의료의향서 등록 현황 (통보일, 시도, 성별, 연령대 별)",CSV,2021-01-12,파일
10,보건복지부 의료기관윤리위원회 설치 의료기관 현황,국가행정기관,"의료기관윤리위원회가 설치된 의료기관의 정보 (시도, 종별, 기관명, 전화번호, 주소, 위도, 경도)",CSV,2021-01-12,파일
11,인천광역시 남동구 산모신생아건강관리서비스제공기관현황,자치행정기관,"인천광역시 남동구 산모신생아 건강관리 서비스 제공기관명, 주소와 전화번호를 제공합니다.",CSV,2021-01-12,파일
12,"서울특별시 동작구 동별,일별 코로나19 확진자 현황",자치행정기관,"서울특별시 동작구 코로나 19 확진자 수(동별, 일별)- 2020",CSV,2021-01-12,파일
13,전라북도 병원현황,자치행정기관,"전라북도 병원 현황(의원급, 병원급, 종합병원, 요양병원, 강염병 관련 병원 등)",CSV,2021-01-11,파일
14,전라북도 자동제세동기(AED) 설치 현황,자치행정기관,"전라북도 자동제세동기(AED)설치 현황(설치기관명, 설치주소, 장소 등)",CSV,2021-01-11,파일
15,울산광역시 울주군 보건소 채용정보,자치행정기관,"울산광역시 울주군 보건소(제목, 내용, 요약, 작성자, 조회수, 작성일자, 업데이트일자)",CSV,2021-01-08,파일
16,서울특별시 성북구 보건소 현황,자치행정기관,"서울특별시 성북구 보건소 현황
(기관명, 주소, 전화번호 정보 포함)",CSV,2021-01-08,파일
17,국립암센터 호스피스완화의료 전문기관 리스트,공공기관,국립암센터에서 보유하는 호스피스완화의료 전문기관에 대한 지역별 병원 목록 리스트,CSV,2021-01-07,파일
18,국립암센터 호스피스완화의료 전문인력 표준교육,공공기관,국립암센터에서 보유하는 암환자 완화의료 전문기관 인력 양성을 위한 교육 기관 및 일정 안내,CSV,2021-01-07,파일
19,서울특별시 구로구 코로나 확진자 행정동 현황,자치행정기관,"공공데이터포털에는 자치구별로만 나와있는 코로나 확진자의 행정동별 자료

순번-확진일-행정동",CSV,2021-01-07,파일
20,충청북도 제천시 진단용방사선발생장치 및 특수장비 현황,자치행정기관,"충청북도 제천시의 진단용방사선발생장치 및 특수장비 현황 소개
- 의료기관명
- 의료기관주소(도로명)",CSV,2021-01-06,파일
21,보건복지부 인체조직기증현황,국가행정기관,"인체조직기증현황(성별, 연령, 시도, 기증년도, 기증형태)",CSV,2021-01-06,파일
22,국립암센터 호스피스완화의료질평가시스템 시스템 운영 정보,공공기관,국립암센터 호스피스완화의료질평가시스템 내 시스템 운영정보입니다.,CSV,2021-01-06,파일
23,국립암센터 호스피스완화의료질평가시스템 기관 정보,공공기관,국립암센터 호스피스완화의료질평가시스템 내 기관 및 병동 정보입니다.,CSV,2021-01-06,파일
24,국가보훈처 보훈의료 위탁병원 코로나-19 병원 정보,국가행정기관,"보훈대상자 의료 제공 위탁병원의 코로나-19 관련 병원 운영 현황 정보
(코로나 관련 국민안심병원, 감염병전담기관, 감염병전담기관 외래진료 정보)",CSV,2021-01-06,파일
25,국민건강보험공단 의약품처방정보,공공기관,"의약품처방정보는 국민건강보험 가입자 중 의약품처방이력이 있는 각 연도별 수진자 100만 명에 대한 기본정보(성, 연령대, 시도코드 등)와 의약품처방전별 개별 의약품에 대한 처방내역(요양개시일자, 1회투약량, 1일투약량, 총투여일수 등)으로 구성된 개방데이터입니다.","CSV,HWP",2021-01-06,파일
26,국민건강보험공단 건강검진정보,공공기관,"건강검진정보란 국민건강보험의 직장가입자와 40세 이상의 피부양자, 세대주인 지역가입자와 40세 이상의 지역가입자의 일반건강검진 결과와 이들 일반건강검진 대상자 중에 만40세와 만66세에 도달한 이들이 받게 되는 생애전환기건강진단 수검이력이 있는 각 연도별 수진자 100만 명에 대한 기본정보(성, 연령대, 시도코드 등)와 검진내역(신장, 체중, 총콜레스테롤, 혈색소 등)으로 구성된 개방데이터입니다.","CSV,HWP",2021-01-06,파일
27,국민건강보험공단 진료내역정보,공공기관,"진료내역정보는 국민건강보험 가입자 중 요양기관(병/의원 등)으로부터의 진료이력이 있는 각 연도별 수진자 100만 명에 대한 기본정보(성, 연령대, 시도코드 등)와 진료내역(진료과목코드, 주상병코드, 요양일수, 총처방일수 등)으로 구성된 개방데이터입니다.","CSV,HWP",2021-01-06,파일
28,부산광역시 종합병원 현황,자치행정기관,"부산시내 종합병원, 병원, 요양병원, 의원 등 현황",CSV,2021-01-05,파일
29,서울특별시 동작구 동별 코로나19 확진 및 완치 현황,자치행정기관,"서울특별시 동작구_동별 코로나19 확진 및 완치 현황(동명, 확진자수, 완치자수)",CSV,2021-01-05,파일
30,전라북도 정읍시 안경업소현황,자치행정기관,"전라북도 정읍시에 소재한 안경업소현황중 안경업소명, 사업장소재지, 사업장전화번호, 담당부서명, 담당부서전화번호 자료제공",CSV,2021-01-05,파일
31,부산광역시 해운대구 소독업소 현황,자치행정기관,해운대구 소독업소 현황,CSV,2021-01-04,파일
32,전라남도 장성군 병의원 현황,자치행정기관,관내 소재하고 있는 병의원 현황 및 병원별 병상수 정보 등을 제공,CSV,2021-01-04,파일
33,부산광역시 아토피천식 안심학교 현황,자치행정기관,"유치원, 어린이집, 초등학교, 중고등학교 안심학교 현황",CSV,2021-01-04,파일
34,보건복지부 장기이식현황,국가행정기관,"장기이식현황(성별, 연령, 혈액형, 시도, 기증년월, 기증유형, 기증장기)",CSV,2020-12-31,파일
35,보건복지부 조혈모세포기증현황,국가행정기관,"조혈모세포기증현황(성별, 연령, 시도, 기증년월, 구분)",CSV,2020-12-31,파일
36,보건복지부 조혈모세포이식현황,국가행정기관,"조혈모세포이식현황(성별, 연령, 시도, 이식년월, 구분)",CSV,2020-12-31,파일
37,보건복지부 장기기증현황,국가행정기관,"장기기증현황(성별, 연령, 혈액형, 시도, 기증년월, 기증유형)",CSV,2020-12-31,파일
38,부산광역시 동구 소독업소 현황,자치행정기관,"부산 동구 관내 소독업소 현황(업체명, 주소, 연락처 등)",CSV,2020-12-30,파일
