,fname,provide,title,local,sub_loc,department,sub_dept,info
0,부산광역시 해운대구 의료기기 판매업 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,의료기기 판매업 현황
1,부산광역시 해운대구 안전상비 의약품 판매업 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,안전상비 의약품 판매업 현황
2,부산광역시 해운대구 약국 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
3,부산광역시 해운대구 치과기공소 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
4,부산광역시 해운대구 의료기관 시설장비 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,의료기관 시설장비 현황
5,부산광역시 해운대구 의료기관 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
6,부산광역시 해운대구 안경업소 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
7,부산광역시 해운대구 의료유사업소 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
8,부산광역시 해운대구 의약품도매상 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
9,인천광역시 강화군 폐의약품 수거함 위치와 폐의약품 수집 참여 약국현황,자치행정기관,인천광역시,인천광역시,강화군,,,폐의약품 수거함 위치와 폐의약품 수집 참여 약국현황
10,부산광역시 강서구 약국 현황,자치행정기관,부산광역시,부산광역시,강서구,,,
11,부산광역시 강서구 안경업소현황,자치행정기관,부산광역시,부산광역시,강서구,,,
12,광주광역시 남구 병원및요양원현황,자치행정기관,광주광역시,광주광역시,남구,,,
13,서울특별시 동대문구 폐의약품 수거함 위치 현황,자치행정기관,서울특별시,서울특별시,동대문구,,,폐의약품 수거함 위치 현황
14,대구광역시 북구 공중위생업,자치행정기관,대구광역시,대구광역시,북구,,,
15,보건복지부 국립춘천병원 거래처목록,국가행정기관,보건복지부,,,보건복지부,국립춘천병원,
16,보건복지부 국립춘천병원 의약품목록,국가행정기관,보건복지부,,,보건복지부,국립춘천병원,
17,전라남도 순천시 세탁업소 현황,자치행정기관,전라남도,전라남도,순천시,,,
18,인천광역시 남동구 소독업소 현황,자치행정기관,인천광역시,인천광역시,남동구,,,
19,경상남도 의령군 장애인시설 현황,자치행정기관,경상남도,경상남도,의령군,,,
20,경상남도 의령군 장례식장현황,자치행정기관,경상남도,경상남도,의령군,,,
21,부산광역시 연제구 공중위생서비스 평가 결과,자치행정기관,부산광역시,부산광역시,연제구,,,공중위생서비스 평가 결과
22,인천광역시 남동구 의료기관 현황,자치행정기관,인천광역시,인천광역시,남동구,,,
23,인천광역시 남동구 치과기공소 현황,자치행정기관,인천광역시,인천광역시,남동구,,,
24,부산광역시 연제구 의료기기 업소 현황,자치행정기관,부산광역시,부산광역시,연제구,,,의료기기 업소 현황
25,경기도 고양시 어린이 국가예방접종 위탁의료기관 현황,자치행정기관,경기도,경기도,고양시,,,어린이 국가예방접종 위탁의료기관 현황
26,경상남도 진주시 휴일의료기관안내,자치행정기관,경상남도,경상남도,진주시,,,
27,부산광역시 연제구 안경업소 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
28,부산광역시 연제구 동물병원현황,자치행정기관,부산광역시,부산광역시,연제구,,,
29,부산광역시 연제구 의료기관 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
30,인천광역시 남동구 안경업소현황,자치행정기관,인천광역시,인천광역시,남동구,,,
31,충청남도 건강증진 관련 통계,자치행정기관,충청남도,충청남도,,,,
32,서울특별시 서초구 흡연시설 현황,자치행정기관,서울특별시,서울특별시,서초구,,,
33,서울특별시 광진구 담배소매인지정현황,자치행정기관,서울특별시,서울특별시,광진구,,,
34,부산광역시 사하구 산후조리원현황,자치행정기관,부산광역시,부산광역시,사하구,,,
35,한국보건산업진흥원 고령친화우수제품 지정현황,공공기관,한국보건산업진흥원,,,한국보건산업진흥원,,
36,한국과학기술정보연구원 의료영상정보,공공기관,한국과학기술정보연구원,,,한국과학기술정보연구원,,
37,광주광역시 보건환경연구원 세균 및 바이러스성 설사질환 실험실감시실적,자치행정기관,광주광역시,광주광역시,,,,세균 및 바이러스성 설사질환 실험실감시실적
38,경기도 고양시 의료급여대상자현황,자치행정기관,경기도,경기도,고양시,,,
39,인천광역시 남동구 금연아파트 현황,자치행정기관,인천광역시,인천광역시,남동구,,,
40,한국전자통신연구원 영장류(붉은털 원숭이) 가상 모델,공공기관,한국전자통신연구원,,,한국전자통신연구원,,원숭이) 가상 모델
41,한국전자통신연구원 인체(평균 머리) 가상 모델,공공기관,한국전자통신연구원,,,한국전자통신연구원,,머리) 가상 모델
42,한국전자통신연구원 인체(남녀 전신) 가상 모델,공공기관,한국전자통신연구원,,,한국전자통신연구원,,전신) 가상 모델
43,서울특별시 동대문구 가정내불용의약품처리현황,자치행정기관,서울특별시,서울특별시,동대문구,,,
44,국립암센터 위암 치료 항암제 메타정보,공공기관,국립암센터,,,국립암센터,,치료 항암제 메타정보
45,충청남도 예산군 진단용방사선발생장치및특수의료장비현황,자치행정기관,충청남도,충청남도,예산군,,,
46,광주광역시 보건환경연구원 엔테로바이러스 실험실 감시실적,자치행정기관,광주광역시,광주광역시,,,,엔테로바이러스 실험실 감시실적
47,국립암센터 위암 사망 정보 메타정보,공공기관,국립암센터,,,국립암센터,,사망 정보 메타정보
48,국립암센터 위암 치료 방사선 메타정보,공공기관,국립암센터,,,국립암센터,,치료 방사선 메타정보
49,국립암센터 위암 수술 정보 메타정보,공공기관,국립암센터,,,국립암센터,,수술 정보 메타정보
50,국립암센터 위암 병리 외과 메타정보,공공기관,국립암센터,,,국립암센터,,병리 외과 메타정보
51,국립암센터 위암 병리 세포 메타정보,공공기관,국립암센터,,,국립암센터,,병리 세포 메타정보
52,국립암센터 위암 검사 내시경 점막하 박리술 메타정보,공공기관,국립암센터,,,국립암센터,,검사 내시경 점막하 박리술 메타정보
53,국립암센터 위암 검사 영상 메타정보,공공기관,국립암센터,,,국립암센터,,검사 영상 메타정보
54,국립암센터 위암 검사 진단 메타정보,공공기관,국립암센터,,,국립암센터,,검사 진단 메타정보
55,국립암센터 위암 검사 내시경 메타정보,공공기관,국립암센터,,,국립암센터,,검사 내시경 메타정보
56,국립암센터 위암 진단 병기 메타정보,공공기관,국립암센터,,,국립암센터,,진단 병기 메타정보
57,국립암센터 위암 진단 신체계측정보 메타정보,공공기관,국립암센터,,,국립암센터,,진단 신체계측정보 메타정보
58,국립암센터 위암 진단 정보 메타정보,공공기관,국립암센터,,,국립암센터,,진단 정보 메타정보
59,국립암센터 위암 환자 가족력 메타정보,공공기관,국립암센터,,,국립암센터,,환자 가족력 메타정보
60,국립암센터 위암 환자 건강정보 메타정보,공공기관,국립암센터,,,국립암센터,,환자 건강정보 메타정보
61,국립암센터 위암 환자 기본정보 메타정보,공공기관,국립암센터,,,국립암센터,,환자 기본정보 메타정보
62,광주광역시 서부소방서 관내 119응급의료지정병원,자치행정기관,광주광역시,광주광역시,,,,
63,충청북도 진천군 반려동물 관련 업체 현황,자치행정기관,충청북도,충청북도,진천군,,,반려동물 관련 업체 현황
64,경상남도 양산시 희귀 질환자 의료비 지원 현황,자치행정기관,경상남도,경상남도,양산시,,,희귀 질환자 의료비 지원 현황
65,경기도 안양시 의료기기 판매업소 정보,자치행정기관,경기도,경기도,안양시,,,의료기기 판매업소 정보
66,경상남도 양산시 병원(종합병원) 현황,자치행정기관,경상남도,경상남도,양산시,,,
67,경상남도 양산시 병원(병원급) 현황,자치행정기관,경상남도,경상남도,양산시,,,
68,경상남도 양산시 병원 현황,자치행정기관,경상남도,경상남도,양산시,,,
69,전라남도 담양군 병원 및 요양원 현황,자치행정기관,전라남도,전라남도,담양군,,,병원 및 요양원 현황
70,경상남도 양산시 동물 병원 현황,자치행정기관,경상남도,경상남도,양산시,,,동물 병원 현황
71,경상남도 양산시 대한약사회 경남지부 현황,자치행정기관,경상남도,경상남도,양산시,,,대한약사회 경남지부 현황
72,경상남도 양산시 검진실적(소아시력)현황,자치행정기관,경상남도,경상남도,양산시,,,
73,경상남도 양산시 검진실적(만성질환)현황,자치행정기관,경상남도,경상남도,양산시,,,
74,경상남도 양산시 검진실적(국가암검진)현황,자치행정기관,경상남도,경상남도,양산시,,,
75,인천광역시 미추홀구 숭의보건지소 재활치료실 장비목록,자치행정기관,인천광역시,인천광역시,미추홀구,,,숭의보건지소 재활치료실 장비목록
76,대구광역시 음식점 등록현황,자치행정기관,대구광역시,대구광역시,,,,
77,인천광역시 미추홀구 흡연실현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,
78,경기도 수원시 의약품도매업소현황,자치행정기관,경기도,경기도,수원시,,,
79,인천광역시 미추홀구 의료기기판매업소 현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,
80,대전광역시 서구 의료기기판매업현황,자치행정기관,대전광역시,대전광역시,서구,,,
81,대전광역시 서구 당직의료기관 현황,자치행정기관,대전광역시,대전광역시,서구,,,
82,인천광역시 미추홀구 공동주택금연구역지정 현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,
83,인천광역시 미추홀구 금연클리닉운영 현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,
84,국립암센터 PRE위암 라이브러리 메타정보,공공기관,국립암센터,,,국립암센터,,
85,충청북도 보은군 진단용방사선발생장치 및 특수장비현황,자치행정기관,충청북도,충청북도,보은군,,,진단용방사선발생장치 및 특수장비현황
86,인천광역시 미추홀구 안경업소,자치행정기관,인천광역시,인천광역시,미추홀구,,,
87,한국사회보장정보원 우편번호 정보,공공기관,한국사회보장정보원,,,한국사회보장정보원,,
88,한국사회보장정보원 보건기관 기본정보,공공기관,한국사회보장정보원,,,한국사회보장정보원,,
89,인천광역시 연수구 안경업소 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
90,인천광역시 연수구 병의원 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
91,대구광역시 의료기관 현황,자치행정기관,대구광역시,대구광역시,,,,
92,경기도 양주시 코로나19 발생 현황,자치행정기관,경기도,경기도,양주시,,,코로나19 발생 현황
93,서울특별시 용산구 흡연구역,자치행정기관,서울특별시,서울특별시,용산구,,,
94,경상북도 공중위생업소 현황,자치행정기관,경상북도,경상북도,,,,
95,대전광역시 동구 약국 현황,자치행정기관,대전광역시,대전광역시,동구,,,
96,대전광역시 동구 의료기관 현황,자치행정기관,대전광역시,대전광역시,동구,,,
97,부산광역시 연제구 기초수급자 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
98,부산광역시 동래구 동물병원 현황,자치행정기관,부산광역시,부산광역시,동래구,,,
99,광주광역시 의료기관 현황,자치행정기관,광주광역시,광주광역시,,,,
100,서울특별시 성동구 실외운동기구현황,자치행정기관,서울특별시,서울특별시,성동구,,,
101,광주광역시 광산구 예방접종 위탁의료기관 현황,자치행정기관,광주광역시,광주광역시,광산구,,,예방접종 위탁의료기관 현황
102,전라북도 임실군 집단급식소설치병원,자치행정기관,전라북도,전라북도,임실군,,,
103,서울특별시 성동구 흡연시설정보,자치행정기관,서울특별시,서울특별시,성동구,,,
104,서울특별시 성동구 흡연정보,자치행정기관,서울특별시,서울특별시,성동구,,,
105,경상남도 창녕군 의료기관정보 의원,자치행정기관,경상남도,경상남도,창녕군,,,
106,경기도 부천시 약국현황,자치행정기관,경기도,경기도,부천시,,,
107,경기도 부천시 병원현황,자치행정기관,경기도,경기도,부천시,,,
108,경기도 부천시 기초생활수급자현황,자치행정기관,경기도,경기도,부천시,,,
109,"경상북도 보건소, 보건의료원 현황",자치행정기관,경상북도,경상북도,,,,
110,인천광역시 동구 공중위생업현황,자치행정기관,인천광역시,인천광역시,동구,,,
111,전라북도 장사시설 현황,자치행정기관,전라북도,전라북도,,,,
112,경상북도 지방의료원 현황,자치행정기관,경상북도,경상북도,,,,
113,충청북도 충주시 위생업소,자치행정기관,충청북도,충청북도,충주시,,,
114,충청북도 동물병원 현황,자치행정기관,충청북도,충청북도,,,,
115,광주광역시 광산구 응급의료기관 현황,자치행정기관,광주광역시,광주광역시,광산구,,,
116,광주광역시 광산구 보건소 현황,자치행정기관,광주광역시,광주광역시,광산구,,,
117,경기도 김포시 약국현황,자치행정기관,경기도,경기도,김포시,,,
118,경기도 김포시 의료기관현황,자치행정기관,경기도,경기도,김포시,,,
119,목포시 병원현황,자치행정기관,목포시,목포시,,,,
120,목포시 약국 현황,자치행정기관,목포시,목포시,,,,
121,울산광역시 남구 의료기기판매업소 현황,자치행정기관,울산광역시,울산광역시,남구,,,
122,한국한의학연구원 한의임상정보은행 정보,공공기관,한국한의학연구원,,,한국한의학연구원,한의임상정보은행,
123,우체국금융개발원 의료기관 기본사항 및 진료기록 발급절차 정보,공공기관,우체국금융개발원,,,우체국금융개발원,,기본사항 및 진료기록 발급절차 정보
124,경상남도 김해시 약국 현황,자치행정기관,경상남도,경상남도,김해시,,,
125,경상남도 김해시 안전상비비의약품판매업소 현황,자치행정기관,경상남도,경상남도,김해시,,,
126,한국보건산업진흥원 보건산업신기술 현황,공공기관,한국보건산업진흥원,,,한국보건산업진흥원,,
127,울산광역시 동구 동물병원 현황,자치행정기관,울산광역시,울산광역시,동구,,,
128,한국보건산업진흥원 유치사업등록 의료기관 정보,공공기관,한국보건산업진흥원,,,한국보건산업진흥원,,
129,대전광역시 동구 특수의료장비현황,자치행정기관,대전광역시,대전광역시,동구,,,
130,대전광역시 동구 공중위생업현황,자치행정기관,대전광역시,대전광역시,동구,,,
131,국민건강보험공단 노인장기요양보험 시도별 판정 현황,공공기관,국민건강보험공단,,,국민건강보험공단,,시도별 판정 현황
132,대전광역시 동구 안경업소 현황,자치행정기관,대전광역시,대전광역시,동구,,,
133,경기도 김포시 목욕업소,자치행정기관,경기도,경기도,김포시,,,
134,경기도 김포시 공동공설묘지현황,자치행정기관,경기도,경기도,김포시,,,
135,전라남도 보건환경연구원홈페이지 보건관련상식,자치행정기관,전라남도,전라남도,,,,
136,서울특별시 양천구 흡연민원 단속건수,자치행정기관,서울특별시,서울특별시,양천구,,,
137,전라북도 익산시 의료기기판매업소,자치행정기관,전라북도,전라북도,익산시,,,
138,전라북도 익산시 의료기관,자치행정기관,전라북도,전라북도,익산시,,,
139,인천광역시 서구 병원,자치행정기관,인천광역시,인천광역시,서구,,,
140,인천광역시 서구 국가 암검진 의료기관,자치행정기관,인천광역시,인천광역시,서구,,,국가 암검진 의료기관
141,인천광역시 서구 공중위생업소,자치행정기관,인천광역시,인천광역시,서구,,,
142,부산광역시 동래구 의료기기 임대 및 판매업소현황,자치행정기관,부산광역시,부산광역시,동래구,,,의료기기 임대 및 판매업소현황
143,부산광역시 동래구 의료기관 현황,자치행정기관,부산광역시,부산광역시,동래구,,,
144,인천광역시 보건교육실적 성인병예방 및 관리교육,자치행정기관,인천광역시,인천광역시,,,,성인병예방 및 관리교육
145,전라북도 임실군 병의원현황,자치행정기관,전라북도,전라북도,임실군,,,
146,전라북도 보건환경연구원 식약품분석 시험항목 및 수수료 정보,자치행정기관,전라북도,전라북도,,,,식약품분석 시험항목 및 수수료 정보
147,경상북도 문경시 공중위생업현황,자치행정기관,경상북도,경상북도,문경시,,,
148,충청남도 금산군 진단용 방사선 발생장치 및 특수장비 현황,자치행정기관,충청남도,충청남도,금산군,,,진단용 방사선 발생장치 및 특수장비 현황
149,부산광역시 중구 의료기관 현황,자치행정기관,부산광역시,부산광역시,중구,,,
150,경기도 고양시 동물병원현황,자치행정기관,경기도,경기도,고양시,,,
151,경기도 양주시 의료시설 현황,자치행정기관,경기도,경기도,양주시,,,
152,경기도 양주시 안경업소 현황,자치행정기관,경기도,경기도,양주시,,,
153,전라남도 보건진료소현황,자치행정기관,전라남도,전라남도,,,,
154,경기도 양주시 산후조리원 현황,자치행정기관,경기도,경기도,양주시,,,
155,부산광역시 중구 소독업소 현황,자치행정기관,부산광역시,부산광역시,중구,,,
156,전라남도 장성군 공중위생업소 현황,자치행정기관,전라남도,전라남도,장성군,,,
157,근로복지공단 근로복지지원현황,공공기관,근로복지공단,,,근로복지공단,,
158,전라남도 병원급이상의료기관현황,자치행정기관,전라남도,전라남도,,,,
159,경기도 성남시 약국 현황,자치행정기관,경기도,경기도,성남시,,,
160,경기도 성남시 의료기관 현황,자치행정기관,경기도,경기도,성남시,,,
161,경기도 성남시 안경업소 현황,자치행정기관,경기도,경기도,성남시,,,
162,전라남도 보건지소현황,자치행정기관,전라남도,전라남도,,,,
163,전라남도 응급의료기관현황,자치행정기관,전라남도,전라남도,,,,
164,전라남도 병원·의원현황,자치행정기관,전라남도,전라남도,,,,
165,질병관리청 국립목포병원 신규 입원환자 현황,국가행정기관,질병관리청,,,질병관리청,국립목포병원,신규 입원환자 현황
166,질병관리청 국립목포병원 진료비 청구 현황,국가행정기관,질병관리청,,,질병관리청,국립목포병원,진료비 청구 현황
167,질병관리청 국립목포병원 외래/입원 수입금 현황,국가행정기관,질병관리청,,,질병관리청,국립목포병원,외래/입원 수입금 현황
168,질병관리청 국립목포병원 거래처 목록,국가행정기관,질병관리청,,,질병관리청,국립목포병원,
169,경상남도 거제시 의약업소등현황,자치행정기관,경상남도,경상남도,거제시,,,
170,질병관리청 국립목포병원 외래 환자 현황,국가행정기관,질병관리청,,,질병관리청,국립목포병원,외래 환자 현황
171,강원도 고성군 공중위생업현황관리,자치행정기관,강원도,강원도,고성군,,,
172,인천광역시 계양구 동물약국,자치행정기관,인천광역시,인천광역시,계양구,,,
173,서울특별시 용산구 의료기기판매업소,자치행정기관,서울특별시,서울특별시,용산구,,,
174,경상남도 거제시 안전상비의약품판매점현황,자치행정기관,경상남도,경상남도,거제시,,,
175,대구광역시 북구 안경업소,자치행정기관,대구광역시,대구광역시,북구,,,
176,강원도 원주시 의원 정보,자치행정기관,강원도,강원도,원주시,,,
177,대전광역시 서구 의원현황,자치행정기관,대전광역시,대전광역시,서구,,,
178,대전광역시 대덕구 미용업소,자치행정기관,대전광역시,대전광역시,대덕구,,,
179,경기도 의정부시 의원 현황,자치행정기관,경기도,경기도,의정부시,,,
180,서울특별시 강남구 흡연민원및단속건수,자치행정기관,서울특별시,서울특별시,강남구,,,
181,부산광역시 중구 장기요양기관 현황,자치행정기관,부산광역시,부산광역시,중구,,,
182,제주특별자치도 연도별건강조사주요지표현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
183,제주특별자치도 소독업체현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
184,제주특별자치도 세탁업현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
185,제주특별자치도 보건소및보건지소현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
186,제주특별자치도 숙박업현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
